Service,Description,Micro Category,Macro Category,Service Category,Discounted Price,Original Price,Location,Hours,Discounted?
Foot Massage with Tibetan Herbal Medicine (10 min Herbal Foot Bath + 60 min Foot + 30 min Upper Body),,Foot Massage,Massage,Spa,,61,Cascade Nail & Spa,Mon-Sun 10am-10pm,FALSE
Foot Massage with Tibetan Herbal Medicine (10 min Herbal Foot Bath + 45 min Foot + 45 min Upper Body),,Foot Massage,Massage,Spa,,68,Cascade Nail & Spa,Mon-Sun 10am-10pm,FALSE
Foot Massage with Tibetan Herbal Medicine (10 min Herbal Foot Bath + 30 min Foot + 60 min Upper Body),,Foot Massage,Massage,Spa,,78,Cascade Nail & Spa,Mon-Sun 10am-10pm,FALSE
Foot Massage with Tibetan Herbal Medicine (10 min Herbal Foot Bath + 80 min Foot + 40 min Upper Body),,Foot Massage,Massage,Spa,,76,Cascade Nail & Spa,Mon-Sun 10am-10pm,FALSE
Foot Massage with Tibetan Herbal Medicine (10 min Herbal Foot Bath + 60 min Foot + 60 min Upper Body),,Foot Massage,Massage,Spa,,89,Cascade Nail & Spa,Mon-Sun 10am-10pm,FALSE
15 min Foot Bath & Massage,,Foot Massage,Massage,Spa,,32,Vanity Beauty Lounge,Mon-Fri 11am-7pm,FALSE
20 min Foot Bath & Massage,,Foot Massage,Massage,Spa,,42,Vanity Beauty Lounge,Mon-Fri 11am-7pm,FALSE
30 min Foot Bath & Massage,,Foot Massage,Massage,Spa,,62,Vanity Beauty Lounge,Mon-Fri 11am-7pm,FALSE
Hot Stone Massage,"Hot stone massage uses smooth, heat retaining stones combined with Swedish and Deep Tissue massage techniques. The relaxing warmth of the stones allows the therapist to work deeper into the muscles, melting away tension and releasing knots in a comfortable and effective way. This massage is ideal for all guests, especially those who are sensitive to the cold.",Hot Stone Massage,Massage,Spa,,185,Cocoon Urban Day Spa,"Tues-Fri 10am-8pm, Sat-Mon 10am-6pm",FALSE
Hot Stone Massage (50 min),"Combined with the Swedish massage, the hot stone therapy is particularly helpful towards poor circulation and for the relief of joint pain. The replacement of the heated stones to key points on the body quickly relieves tension and enhances deep relaxation. ",Hot Stone Massage,Massage,Spa,,115,Mizu Spa,"Tues-Thurs 11am-7pm, Fri-Sat 10am-7pm, Sun 10am-6pm",FALSE
Waxing - Full leg,,Full leg,Waxing,Hair Removal,,45,Haight Street Nails,"Mon-Tues 10:30am-7pm. Wed-Sat 10:30am-7:30pm, Sun 10:30am-6:30pm",FALSE
Waxing - Full leg,,Full leg,Waxing,Hair Removal,,60,Hand Job Spa,"Mon-Sat 10am-8pm, Sun 11am-7pm",FALSE
Waxing - Full leg,,Full leg,Waxing,Hair Removal,,40,JoJe Nail Spa,"Mon-Sat 10am-7:30pm, Sun 10am-7pm",FALSE
Waxing - Full legs,,Full leg,Waxing,Hair Removal,,35,KT Nails,Wed-Mon 10am-7:30pm,FALSE
